sep=,



=======================================================
Image Data:,../shared/images/nature_tiny_ver_1.png,PNG,400x600,400x600+0+0,8-bit,sRGB,428379B,0.016u,0:00.000,
-------------------------------------------------------

Format,SRC_PATH,SRC_SIZE,RES_SIZE,ENC_TIME,DEC_TIME,DIFF_SIZE(%),QUALITY,SSIM,PSNR,MSE,RMSE,UQI,ERGAS,SCC,RASE,SAM,VIFP,PSNRB,FSIM,SRE
BPG,./result/res_bpg_4.bpg,2158545,433309,352,489,80,1,0.9840545625310951,39.528543099066255,7.248131282820705,2.692235369134858,0.9882943667338542,0.5913200043540545,0.63462108384495,nan,0.01934582994492948,0.7617618395758785,39.368644265705754,0.8377112331507149,67.7120454669882,
JPEG jpeglib-turbo,./result/res_jpeg_turbo_4.jpg,2158545,517578,50,55,76,94,0.9767000534616012,35.67308997928596,17.610486871717928,4.196485061538755,0.9828189816811168,0.8974654227741231,0.7064462244030997,nan,0.028972529495605758,0.7704231427479585,35.428267488048625,0.8489947105481747,66.06784617680142,
guetzli,./result/res_jpegGUETZLI_4.jpg,2158545,596943,115665,509,72,96,0.9848186849602767,37.91537115841459,10.508560890222556,3.241691054098548,0.9873091612600956,0.7218163392379553,0.7014076967040201,nan,0.022951333763393544,0.777193571032547,36.12402807943954,0.8549969548584958,67.1630984526493,
mozjpeg,./result/res_jpegMOZ_4.jpg,2158545,482056,365,68,78,91,0.9846657832514735,38.01570027251186,10.268578644661165,3.204462301956627,0.9871773330762724,0.7044576088236597,0.6600920080944854,nan,0.0230127720673603,0.7601472463349817,37.34124543654551,0.8520423203074953,66.96530694945217,






=======================================================
Image Data:,../shared/images/animal_sq_1.png,PNG,1152x1153,1152x1153+0+0,8-bit,sRGB,2.31963MiB,0.000u,0:00.000,
-------------------------------------------------------

Format,SRC_PATH,SRC_SIZE,RES_SIZE,ENC_TIME,DEC_TIME,DIFF_SIZE(%),QUALITY,SSIM,PSNR,MSE,RMSE,UQI,ERGAS,SCC,RASE,SAM,VIFP,PSNRB,FSIM,SRE
AVIF,./result/res_avif_5.avif,2432313,600745,2762,441,75,4,0.9958885490570007,42.282124471163215,3.844748301532235,1.9608029736646757,0.9996315077322246,0.3445456752125267,0.9500076855136022,93.45178985393342,0.012469518719605976,0.8694952550137843,40.30947807158454,0.8990293707193304,71.36966469707379,
JPEG XL,./result/res_jxl_5.jxl,2432313,587241,414,476,76,97,0.995233926249325,41.689228573236186,4.40714666449841,2.099320524478911,0.999519120418254,0.36946766438232675,0.9482075264634978,100.47986675399673,0.013209066407657183,0.85781873075863,39.23718860795048,0.8924392985496413,71.30407533169713,
libjpeg Image Magick,./result/res_jpeg_5.jpg,2432313,541942,130,476,78,90,0.9905520116378789,39.24718368910091,7.733248962047477,2.7808719787231264,0.9995595758031269,0.4838017666228185,0.8833416829186701,136.88225593769778,0.018012670244098094,0.7809825026490721,37.82533287001834,0.8785843826674834,69.50110177191073,
WebP,./result/res_webp_5.webp,2432313,576788,919,221,76,96,0.9944506717974759,41.21103042682761,4.9201383869776105,2.218138495896415,0.9996094366338255,0.38850484699033405,0.9339368880082013,107.50951108774694,0.014191762061514032,0.8391075770249055,39.40512271346466,0.8908284419064872,70.70063843474318,
FLIF,./result/res_flif_5.flif,2432313,533723,6018,821,78,66,0.9940453636119937,41.17281772268897,4.963620717692975,2.2279184719582927,0.999655576241492,0.3863572027169643,0.9290896868553995,109.10581939630558,0.014333989718411438,0.8324281305267128,40.45981925760294,0.8873204624207736,70.51744677943502,
BPG,./result/res_bpg_5.bpg,2432313,548861,338,470,77,1,0.985155286657995,37.99901917793356,10.308095728534258,3.2106223272964165,0.9995059006374131,0.5557506055333713,0.8626173115414715,158.62336731814963,0.020841151261823527,0.734933223049561,37.90238857815766,0.8654428921494274,68.80487667149711,
JPEG jpeglib-turbo,./result/res_jpeg_turbo_5.jpg,2432313,591705,47,59,76,94,0.9918571555965273,39.543270355334556,7.223593945745399,2.6876744493605247,0.9994847954983065,0.4700493417574945,0.9100219738448659,130.48292410688126,0.01727364325556005,0.7972068005153828,38.004743006520734,0.8808098934385103,69.80561190950107,
guetzli,./result/res_jpegGUETZLI_5.jpg,2432313,545710,93035,548,78,96,0.9916500350588905,39.17925258795501,7.8551612038643155,2.802706050206535,0.9995273533631384,0.49028101270676366,0.9025939672946834,134.55373032310095,0.018068061172314062,0.785277517108527,37.11155709867752,0.8753945842201999,69.58348443067382,
mozjpeg,./result/res_jpegMOZ_5.jpg,2432313,512167,350,65,79,91,0.9906523049004899,39.25703409728342,7.715728745061193,2.777720062400312,0.999602741187255,0.48244383190411577,0.8758441346326197,135.61136707086246,0.018012373040213872,0.7797234961164846,37.82476316045869,0.8818610426205858,69.47520716196479,






=======================================================
Image Data:,../shared/images/food_ver_1.png,PNG,1920x2400,1920x2400+0+0,8-bit,sRGB,2.86374MiB,0.000u,0:00.000,
-------------------------------------------------------

Format,SRC_PATH,SRC_SIZE,RES_SIZE,ENC_TIME,DEC_TIME,DIFF_SIZE(%),QUALITY,SSIM,PSNR,MSE,RMSE,UQI,ERGAS,SCC,RASE,SAM,VIFP,PSNRB,FSIM,SRE
AVIF,./result/res_avif_6.avif,3002845,376607,2884,1110,87,4,0.9953406877031886,48.593226610310786,0.8989958767361111,0.948153930928998,0.9950897541483942,0.3142405128543361,0.6824436138530874,nan,0.009242515319811925,0.8973794924325261,44.38645221110458,0.9283280869436203,71.91373866834024,
JPEG XL,./result/res_jxl_6.jxl,3002845,486995,1034,1433,84,97,0.9946035479207097,48.11565551177263,1.003494068287037,1.0017455107396473,0.9940948876996226,0.34181731854487357,0.5934110022978369,nan,0.009705805179727986,0.8881442047777958,43.196736858215544,0.9150611518415018,72.0523576545984,
libjpeg Image Magick,./result/res_jpeg_6.jpg,3002845,560116,237,1600,81,90,0.9946058519873279,48.919956453001696,0.833843822337963,0.9131504927107924,0.9957729502204641,0.30039730729848524,0.6104527770117424,nan,0.009008896280673535,0.893524239423288,43.68487414870751,0.9157434801661544,71.92068336377957,
