=======================================================;;;;;;;;;;;;;;;;;;;;
Image Data:;../shared/images/text_ver_1.png;PNG;1000x1333;1000x1333+0+0;8-bit;sRGB;2.05855MiB;0.000u;0:00.000;;;;;;;;;;;
-------------------------------------------------------;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Format;SRC_PATH;SRC_SIZE;RES_SIZE;ENC_TIME;DEC_TIME;DIFF_SIZE(%);QUALITY;SSIM;PSNR;MSE;RMSE;UQI;ERGAS;SCC;RASE;SAM;VIFP;PSNRB;FSIM;SRE
AVIF;./result/res_avif_4.avif;2158545;143866;1437;327;93;28;0.967933603;33.87339648;26.65266942;5.162622339;0.979752151;1.11578997;0.608421859;nan;0.036189283;0.678778926;33.49488468;0.808865363;65.03787731
JPEG XL;./result/res_jxl_4.jxl;2158545;302543;414;450;86;91;0.977865915;36.66722657;14.0074056;3.742646871;0.98512355;0.832793215;0.666965691;nan;0.02643379;0.755373544;34.98745421;0.842191119;66.56715919
libjpeg Image Magick;./result/res_jpeg_4.jpg;2158545;319573;148;470;85;85;0.967378162;33.67423834;27.90336159;5.282363258;0.97953407;1.139669475;0.635056965;nan;0.036988526;0.693494125;33.22607761;0.817719812;64.94610788
WebP;./result/res_webp_4.webp;2158545;191062;632;188;91;78;0.964577503;33.59917593;28.38982846;5.328210624;0.976992767;1.150654522;0.592474176;nan;0.037411144;0.668720053;33.12014375;0.804389152;64.88136983
FLIF;./result/res_flif_4.flif;2158545;188010;4859;720;91;3;0.960956708;33.60798367;28.33231058;5.322810402;0.977722997;1.154190171;0.537334862;inf;0.037805366;0.620592289;33.56743355;0.791232676;64.75992093
BPG;./result/res_bpg_4.bpg;2158545;433309;320;488;80;1;0.984054563;39.5285431;7.248131283;2.692235369;0.988294367;0.591320004;0.634621084;nan;0.01934583;0.76176184;39.36864427;0.837711233;67.71204547
JPEG jpeglib-turbo;./result/res_jpeg_turbo_4.jpg;2158545;324219;49;55;85;85;0.967631098;33.68840752;27.81247312;5.273753229;0.979661379;1.137670184;0.634854163;nan;0.03691832;0.694797907;33.24586905;0.818223977;64.95558254
guetzli;./result/res_jpegGUETZLI_4.jpg;2158545;298873;67556;369;86;87;0.969106853;33.56116831;28.63937459;5.351576832;0.981993535;1.180775287;0.588074508;nan;0.038213937;0.656644381;32.35303908;0.804202542;64.82030131
mozjpeg;./result/res_jpegMOZ_4.jpg;2158545;266155;209;60;88;81;0.967600429;33.16870322;31.3480145;5.598929764;0.980179759;1.219576559;0.578270412;nan;0.039963319;0.663904233;32.78838117;0.810666727;64.53399376
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
=======================================================;;;;;;;;;;;;;;;;;;;;
Image Data:;../shared/images/animal_sq_1.png;PNG;1152x1153;1152x1153+0+0;8-bit;sRGB;2.31963MiB;0.000u;0:00.000;;;;;;;;;;;
-------------------------------------------------------;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Format;SRC_PATH;SRC_SIZE;RES_SIZE;ENC_TIME;DEC_TIME;DIFF_SIZE(%);QUALITY;SSIM;PSNR;MSE;RMSE;UQI;ERGAS;SCC;RASE;SAM;VIFP;PSNRB;FSIM;SRE
AVIF;./result/res_avif_5.avif;2432313;167690;1466;401;93;28;0.976532921;35.00644262;20.53222898;4.531250267;0.998747833;0.79047211;0.821877552;221.8593755;0.02930287;0.654703244;34.04887829;0.843524145;67.42874316
JPEG XL;./result/res_jxl_5.jxl;2432313;342654;427;493;86;91;0.988684413;37.7894339;10.81775074;3.289034926;0.999091846;0.576595162;0.898632437;156.9193735;0.020961107;0.758822431;35.87482372;0.866518095;69.09565542
libjpeg Image Magick;./result/res_jpeg_5.jpg;2432313;367684;117;514;85;85;0.984193205;36.53857131;14.42856799;3.79849549;0.999115055;0.662872452;0.846571733;183.9418909;0.024539664;0.710207838;35.13771331;0.859587692;68.21337118
WebP;./result/res_webp_5.webp;2432313;223324;704;182;91;78;0.97731329;35.04512851;20.3501451;4.51111351;0.998823749;0.78629134;0.804310559;219.778409;0.029174325;0.657612719;33.76813993;0.843658444;67.42877592
FLIF;./result/res_flif_5.flif;2432313;197061;5073;778;92;3;0.963765359;33.48111541;29.17217564;5.401127257;0.998519573;0.936483304;0.716816096;264.126413;0.035035068;0.596165855;33.14099118;0.827745505;66.56900488
